id;file;venditore;luogo;importo;valuta;data;ora;tipo_spesa;note
01;scontrino_JP_01.jpg;HARD OFF - ハードオフ宇都宮駅東店;Utsunomiya (Tochigi), stazione Utsunomiya uscita est;6680;JPY;2026-07-12;19:11;Negozio (usato / videogiochi - elettronica);
02;scontrino_JP_02.jpg;Yaoko Marketplace - ヤオコー トナリエ宇都宮店;Utsunomiya (Tochigi), c.c. Tonarie;1508;JPY;2026-07-09;17:53;Supermercato;
03;scontrino_JP_03.jpg;York Benimaru - ヨークベニマル 宇都宮テラス店;Utsunomiya (Tochigi), Utsunomiya Terrace;1580;JPY;2026-07-16;17:56;Supermercato;
04;scontrino_JP_04.jpg;York Benimaru - ヨークベニマル 宇都宮テラス店;Utsunomiya (Tochigi), Utsunomiya Terrace;2089;JPY;2026-07-14;17:53;Supermercato;
05;scontrino_JP_05.jpg;Utsunomiya Mobility Service (宇都宮モビリティサービス) - gruppo Hinomaru Limousine;Utsunomiya (Tochigi), Nibancho 2-7;5520;JPY;2026-07-17;17:36;Taxi;
06;scontrino_JP_06.jpg;Utsunomiya Mobility Service (宇都宮モビリティサービス);Utsunomiya (Tochigi);5520;JPY;2026-07-14;17:38;Taxi;
07;scontrino_JP_07.jpg;あなたのお店 (ristorante italiano - reg. T7810262141749);n.d. sullo scontrino (Giappone);6775;JPY;2026-07-10;21:22;Ristorante;cucina italiana: coperto, crostini, pici/tagliatelle, vino, amaro
08;scontrino_JP_08.jpg;CAPCOM STORE Tokyo - カプコンストア トーキョー店;Tokyo, Shibuya-ku Udagawacho 15-1, Shibuya PARCO 6F;2640;JPY;2026-07-05;16:35;Negozio (merchandising / gadget);
09;scontrino_JP_09.jpg;ユニオンコマース (Union Commerce);n.d.;8480;JPY;2026-07-11;14:55;Altro / acquisto non specificato;ricevuta di pagamento con carta MUFG, solo slip carta di credito
10;scontrino_JP_10.jpg;LAWSON - 宇都宮駅西口店;Utsunomiya (Tochigi), Kawamukocho 1-23;1489;JPY;2026-07-05;20:07;Minimarket / convenience store;
11;scontrino_JP_11.jpg;Utsunomiya Mobility Service (宇都宮モビリティサービス);Utsunomiya (Tochigi);5520;JPY;2026-07-17;07:38;Taxi;
12;scontrino_JP_12.jpg;健太餃子 東口店 (Kenta Gyoza - Utsunomiya Gyoza-kan);Utsunomiya (Tochigi), Higashi-Shukugo 1-9-1;1710;JPY;2026-07-13;20:46;Ristorante;
13;scontrino_JP_13.jpg;KAWARAYA - かわらや宇都宮店;Utsunomiya (Tochigi), Ikegamicho 3-11 6F;17780;JPY;2026-07-11;22:11;Ristorante / izakaya;
15;scontrino_JP_15.jpg;NewDays - ND宇都宮中央;Utsunomiya (Tochigi), Kawamukocho 1-23;1087;JPY;2026-07-19;20:11;Minimarket / convenience store;
16;scontrino_JP_16.jpg;York Benimaru - ヨークベニマル 宇都宮テラス店;Utsunomiya (Tochigi), Utsunomiya Terrace;1715;JPY;2026-07-28;17:56;Supermercato;
17;scontrino_JP_17.jpg;あなたのお店 (ristorante italiano - reg. T7810262141749);n.d. sullo scontrino (Giappone);5815;JPY;2026-07-17;23:00;Ristorante;coperto, crostini, carbonara, amaro, acqua
18;scontrino_JP_18.jpg;海蔵 UMIZOU - JR駅西口店;Utsunomiya (Tochigi), Odori 4-1-12;5673;JPY;2026-07-18;21:48;Ristorante / izakaya;
19;scontrino_JP_19.jpg;KAWARAYA - かわらや宇都宮店;Utsunomiya (Tochigi), Ikegamicho 3-11 6F;17780;JPY;2026-07-11;22:11;Ristorante / izakaya;
20;scontrino_JP_20.jpg;KAWARAYA - かわらや宇都宮店;Utsunomiya (Tochigi);17780;JPY;2026-07-11;22:11;Ristorante / izakaya;
21;scontrino_JP_21.jpg;九 (Kyu) 宇都宮駅西口店 - yakitori;Utsunomiya (Tochigi), Odori 3-2-1;2190;JPY;2026-07-27;21:02;Ristorante (yakitori / izakaya);
22;scontrino_JP_22.jpg;健太餃子 東口店 (Kenta Gyoza);Utsunomiya (Tochigi), Higashi-Shukugo 1-9-1;1710;JPY;2026-07-13;20:46;Ristorante;
23;scontrino_JP_23.jpg;あなたのお店 (ristorante italiano - reg. T7810262141749);n.d. sullo scontrino (Giappone);8315;JPY;2026-07-24;21:57;Ristorante;coperto, aglio e burro, peposo, amaro, acqua
24;scontrino_JP_24.jpg;成城石井 Seijo Ishii - 宇都宮パセオ店;Utsunomiya (Tochigi), c.c. Paseo;860;JPY;2026-06-14;17:00;Supermercato;
25;scontrino_JP_25.jpg;トレジャーファクトリー (Treasure Factory) トナリエ宇都宮店;Utsunomiya (Tochigi), Ekimae-dori 1-4-6;4457;JPY;2026-07-18;16:54;Negozio (usato / hobby - videogiochi, abbigliamento);
26;scontrino_JP_26.jpg;HARD OFF - ハードオフ宇都宮駅東店;Utsunomiya (Tochigi);6680;JPY;2026-07-12;19:11;Negozio (usato / videogiochi);
27;scontrino_JP_27.jpg;若竹の杜 若山農場 (Wakayama Farm - Four Seasons Bamboo Forest);Utsunomiya (Tochigi), Takaragimotomachi 2018;1350;JPY;2026-06-14;10:35;Attrazione turistica / caffetteria;set matcha con ingresso
28;scontrino_JP_28.jpg;CAPCOM STORE Tokyo - カプコンストア トーキョー店;Tokyo, Shibuya PARCO 6F;2640;JPY;2026-07-05;16:35;Negozio (merchandising);
29;scontrino_JP_29.jpg;MEGA ドン・キホーテ (Don Quijote) 宇都宮店;Utsunomiya (Tochigi);544;JPY;2026-07-25;18:54;Supermercato / discount;cancelleria
30;scontrino_JP_30.jpg;HARD OFF - ハードオフ宇都宮環状鶴田店;Utsunomiya (Tochigi), Tsuruta;9240;JPY;2026-07-25;16:12;Negozio (usato / elettronica);
31;scontrino_JP_31.jpg;駿河屋 (Suruga-ya) - MEGAドン・キホーテ ラパーク宇都宮店;Utsunomiya (Tochigi), Babadori 2-3-12, 6F;10813;JPY;2026-07-25;18:25;Negozio (usato / hobby - retrogaming);
32;scontrino_JP_32.jpg;おかしのまちおか (Okashi no Machioka) 宇都宮パセオ店;Utsunomiya (Tochigi), Kawamukocho 1-23;2072;JPY;2026-08-03;18:04;Negozio alimentari / dolciumi;
